"","Timestamp","BTCOpen","BTCClose","BTCVolume","BTCCount","BTCReturn","BTCRVol","BTCAmihud","BTCVolLag1","BTCVolLag2","BTCVolLag3","BTCRtnLag1","BTCRtnLag2","BTCRtnLag3","BTCRVolLag1","BTCRVolLag2","BTCRVolLag3","BTCAmhLag1","BTCAmhLag2","BTCAmhLag3","EUROpen","EURClose","EURVolume","EURCount","EURReturn","EURRtnLag1","EURRtnLag2","EURRtnLag3","SPCOpen","SPCClose","SPCVolume","SPCCount","SPCReturn","SPCRtnLag1","SPCRtnLag2","SPCRtnLag3","NASCOpen","NASCClose","NASCVolume","NASCCount","NASCReturn","NASCRtnLag1","NASCRtnLag2","NASCRtnLag3","SPCVOpen","SPCVClose","SPCVVolume","SPCVCount","SPCVReturn","SPCVRtnLag1","SPCVRtnLag2","SPCVRtnLag3","NASCVOpen","NASCVClose","NASCVVolume","NASCVCount","NASCVReturn","NASCVRtnLag1","NASCVRtnLag2","NASCVRtnLag3"
"1","21.01.2021 18:00",31040,31185,13,13,0.00466051466306894,2.17203969246806e-05,0.00035850112792838,0,0,0,0,0,0,0,0,0,0,0,0,1.2164,1.2164,54,23,0,0,0,0,3842.25,3842.5,2426,738,6.50639253301222e-05,0,0,0,13320.75,13317.25,939,704,-0.000262782492690405,0,0,0,3842.25,3842.5,2426,738,6.50639253301222e-05,0,0,0,13320.75,13317.25,939,704,-0.000262782492690405,0,0,0
"13","21.01.2021 19:00",31235,31350,1318,1021,0.00367500613339544,1.35056700804941e-05,2.78832028330458e-06,13,0,0,0.00466051466306894,0,0,2.17203969246806e-05,0,0,0.00035850112792838,0,0,1.2164,1.2165,2734,1243,8.22064203677142e-05,0,0,0,3851.5,3852,156589,33345,0.000129811124995882,6.50639253301222e-05,0,0,13384.25,13385.75,73584,47667,0.000112065745353718,-0.000262782492690405,0,0,3851.5,3852,156589,33345,0.000129811124995882,6.50639253301222e-05,0,0,13384.25,13385.75,73584,47667,0.000112065745353718,-0.000262782492690405,0,0
"25","21.01.2021 20:00",31050,31000,1041.5,821,-0.00161160389434123,2.59726711225582e-06,1.54738732053887e-06,1318,13,0,0.00367500613339544,0.00466051466306894,0,1.35056700804941e-05,2.17203969246806e-05,0,2.78832028330458e-06,0.00035850112792838,0,1.2155,1.2156,1851,844,8.22672864599361e-05,8.22064203677142e-05,0,0,3845.25,3845.5,116836,23377,6.50131651891428e-05,0.000129811124995882,6.50639253301222e-05,0,13370.75,13368.5,44559,29060,-0.000168291930798148,0.000112065745353718,-0.000262782492690405,0,3845.25,3845.5,116836,23377,6.50131651891428e-05,0.000129811124995882,6.50639253301222e-05,0,13370.75,13368.5,44559,29060,-0.000168291930798148,0.000112065745353718,-0.000262782492690405,0
"37","21.01.2021 21:00",31815,31855,642,528,0.00125647888369684,1.57873918517607e-06,1.95713221759633e-06,1041.5,1318,13,-0.00161160389434123,0.00367500613339544,0.00466051466306894,2.59726711225582e-06,1.35056700804941e-05,2.17203969246806e-05,1.54738732053887e-06,2.78832028330458e-06,0.00035850112792838,1.2163,1.2161,865,401,-0.000164446637436838,8.22672864599361e-05,8.22064203677142e-05,0,3843,3843.5,86005,17204,0.000130098224342845,6.50131651891428e-05,0.000129811124995882,6.50639253301222e-05,13356,13360.25,39666,26175,0.000318158426864557,-0.000168291930798148,0.000112065745353718,-0.000262782492690405,3843,3843.5,86005,17204,0.000130098224342845,6.50131651891428e-05,0.000129811124995882,6.50639253301222e-05,13356,13360.25,39666,26175,0.000318158426864557,-0.000168291930798148,0.000112065745353718,-0.000262782492690405
"49","21.01.2021 22:00",31810,31760,538.5,432,-0.00157306938211832,2.47454728095811e-06,2.92120590922622e-06,642,1041.5,1318,0.00125647888369684,-0.00161160389434123,0.00367500613339544,1.57873918517607e-06,2.59726711225582e-06,1.35056700804941e-05,1.95713221759633e-06,1.54738732053887e-06,2.78832028330458e-06,1.2169,1.2169,621.5,297,0,-0.000164446637436838,8.22672864599361e-05,8.22064203677142e-05,3845.5,3845.75,54671,11460,6.50089387530528e-05,0.000130098224342845,6.50131651891428e-05,0.000129811124995882,13363.75,13365,27736,17236,9.35322453106124e-05,0.000318158426864557,-0.000168291930798148,0.000112065745353718,3845.5,3845.75,54671,11460,6.50089387530528e-05,0.000130098224342845,6.50131651891428e-05,0.000129811124995882,13363.75,13365,27736,17236,9.35322453106124e-05,0.000318158426864557,-0.000168291930798148,0.000112065745353718
"61","21.01.2021 23:00",32480,32485,685.5,507.5,0.000153929039017342,2.36941490528024e-08,2.24550020448347e-07,538.5,642,1041.5,-0.00157306938211832,0.00125647888369684,-0.00161160389434123,2.47454728095811e-06,1.57873918517607e-06,2.59726711225582e-06,2.92120590922622e-06,1.95713221759633e-06,1.54738732053887e-06,1.2171,1.2173,456.5,239.5,0.000164311535039374,0,-0.000164446637436838,8.22672864599361e-05,3852,3852.25,70026,12880,6.48992439469254e-05,6.50089387530528e-05,0.000130098224342845,6.50131651891428e-05,13403,13405,28808,17589,0.00014920919156225,9.35322453106124e-05,0.000318158426864557,-0.000168291930798148,3852,3852.25,70026,12880,6.48992439469254e-05,6.50089387530528e-05,0.000130098224342845,6.50131651891428e-05,13403,13405,28808,17589,0.00014920919156225,9.35322453106124e-05,0.000318158426864557,-0.000168291930798148
"73","22.01.2021 00:00",31945,31880,405,335.5,-0.00203682013229312,4.14863625131455e-06,5.02918551183485e-06,685.5,538.5,642,0.000153929039017342,-0.00157306938211832,0.00125647888369684,2.36941490528024e-08,2.47454728095811e-06,1.57873918517607e-06,2.24550020448347e-07,2.92120590922622e-06,1.95713221759633e-06,1.2182,1.2182,682.5,293.5,0,0.000164311535039374,0,-0.000164446637436838,3848,3846.5,151002,23359,-0.000389888886607181,6.48992439469254e-05,6.50089387530528e-05,0.000130098224342845,13396.75,13398,45343,28000,9.3301859573458e-05,0.00014920919156225,9.35322453106124e-05,0.000318158426864557,3848,3846.5,151002,23359,-0.000389888886607181,6.48992439469254e-05,6.50089387530528e-05,0.000130098224342845,13396.75,13398,45343,28000,9.3301859573458e-05,0.00014920919156225,9.35322453106124e-05,0.000318158426864557
"82","22.01.2021 01:00",31250,31155,584,368,-0.00304463018622592,9.26977297087806e-06,5.21340785312657e-06,405,685.5,538.5,-0.00203682013229312,0.000153929039017342,-0.00157306938211832,4.14863625131455e-06,2.36941490528024e-08,2.47454728095811e-06,5.02918551183485e-06,2.24550020448347e-07,2.92120590922622e-06,1.2182,1.2181,370.5,188.5,-8.20916964709983e-05,0,0.000164311535039374,0,3846.75,3846.5,38089,6407,-6.49920384976355e-05,-0.000389888886607181,6.48992439469254e-05,6.50089387530528e-05,13399.25,13397,8303,5006,-0.000167933946375598,9.3301859573458e-05,0.00014920919156225,9.35322453106124e-05,3846.75,3846.5,38089,6407,-6.49920384976355e-05,-0.000389888886607181,6.48992439469254e-05,6.50089387530528e-05,13399.25,13397,8303,5006,-0.000167933946375598,9.3301859573458e-05,0.00014920919156225,9.35322453106124e-05
"94","22.01.2021 03:00",30780,30780,786,559.5,0,0,0,584,405,685.5,-0.00304463018622592,-0.00203682013229312,0.000153929039017342,9.26977297087806e-06,4.14863625131455e-06,2.36941490528024e-08,5.21340785312657e-06,5.02918551183485e-06,2.24550020448347e-07,1.21785,1.21785,345,181.5,0,-8.20916964709983e-05,0,0.000164311535039374,3843.25,3844,7228,2786,0.000195128297473701,-6.49920384976355e-05,-0.000389888886607181,6.48992439469254e-05,13381.75,13384,3094,2348,0.000168125309794931,-0.000167933946375598,9.3301859573458e-05,0.00014920919156225,3843.25,3844,7228,2786,0.000195128297473701,-6.49920384976355e-05,-0.000389888886607181,6.48992439469254e-05,13381.75,13384,3094,2348,0.000168125309794931,-0.000167933946375598,9.3301859573458e-05,0.00014920919156225
"106","22.01.2021 04:00",29630,29505,1517,1184,-0.00422762107634078,1.78727799651208e-05,2.78682997781199e-06,786,584,405,0,-0.00304463018622592,-0.00203682013229312,0,9.26977297087806e-06,4.14863625131455e-06,0,5.21340785312657e-06,5.02918551183485e-06,1.2181,1.2181,746,364,0,0,-8.20916964709983e-05,0,3841.75,3842,11286,4246,6.50723930597508e-05,0.000195128297473701,-6.49920384976355e-05,-0.000389888886607181,13375,13372.75,3929,2999,-0.000168238450360292,0.000168125309794931,-0.000167933946375598,9.3301859573458e-05,3841.75,3842,11286,4246,6.50723930597508e-05,0.000195128297473701,-6.49920384976355e-05,-0.000389888886607181,13375,13372.75,3929,2999,-0.000168238450360292,0.000168125309794931,-0.000167933946375598,9.3301859573458e-05
